_id,count
Japan & Singapore,11
USA,2192
Estonia,7
Hàn Quốc,25836
UK,312
Phần Lan,56
UAE,95
Chile,145
Ukraine,87
Trung Quốc / Thái Lan,110
Hoa Kỳ,10
Cộng hoà Síp (Cyprus),2
Georgia,1
Switzerland,7
India,17
Bulgaria,185
Caribbean Netherlands,19
Liên Bang Nga,44
Philippines,293
Áo,134
Nam Phi,60
Thái Lan,9018
Hàn Quốc / Trung Quốc,161
Lithuania,13
Croatia,1
Ấn Độ + Ý,3
Hong Kong,9324
Thổ Nhĩ Kỳ,679
Canada,1544
Đài Loan,12499
Australia,714
Bỉ,519
Albania,42
Israel,241
Thụy Sỹ,2978
Poland,30
Belarus,84
ALBANIA,8
Romania,5
Úc,2696
Thụy Điển,1800
Iran,93
Đan Mạch,1072
Germany,745
Ireland,36
France,96
Na-uy,67
Không có,979
Nhật Bản,31929
Hà Lan,1228
Singapore,2183
Việt Nam/Trung Quốc/Thái Lan/Indonesia…,242
Cộng Hòa Séc,525
Tunisia,7
Nga,1106
Malaysia,2451
Anh,4700
Thượng Hải,49
Hungary,84
Mỹ,22761
Việt Nam,715352
Ba Lan,1191
Đức,11524
Italia,1904
Brazil,332
Tây Ban Nha,2350
Bồ Đào Nha,55
Quata,10
MYANMAR,12
Bangladesh,3
Argentina,41
Cuba,4
Taiwan,1804
Bulgary,22
Guangdong,2
Cambodia,47
Pakistan,87
Ai Cập,203
Ý,4096
INDIA,8
BELGIUM,1
Peru,28
524749,443
Madagascar,4
"Indonesia, Thái Lan",18
China,167519
New Zealand,693
Indonesia,1052
Ấn Độ,1029
Pháp,6129
Mexico,202
Slovenia,53
Châu Âu,1327
Trung Quốc,135841
Slovakia,27
Korea,849
Ấn Độ + Việt Nam,437
Hy Lạp,131
Myanmar,25
Việt Nam + Ý,22
