_id,count
Root,543435
Thời Trang,31595
Đồ Chơi - Mẹ & Bé,18274
Nhà Cửa - Đời Sống,17705
Sách tiếng Việt,15468
Thiết Bị Số - Phụ Kiện Số,14233
Làm Đẹp - Sức Khỏe,13665
Điện Gia Dụng,5164
Khác,4330
Ô Tô - Xe Máy - Xe Đạp,3732
Thể Thao - Dã Ngoại,3729
Phụ tùng thay thế khác,2461
Kệ & Tủ,2159
Dụng Cụ Văn Phòng,2058
"Bánh quy, bánh ngọt",2008
Lọc gió và nhiên liệu,1969
Mặt nạ,1958
Bách Hóa Online,1951
"Hạt, củ, quả khô",1936
Pin Thay Thế Laptop,1915
"Children's Books",1911
Sữa rửa mặt,1902
Adapter Sạc Laptop,1888
Bàn Phím Thay Thế Laptop,1887
Serum,1877
Tinh dầu,1875
Bàn ghế,1799
"Socola, kẹo, ngũ cốc",1794
Kem và sữa dưỡng da,1791
Thời trang nữ,1787
"Bông tắm, sữa tắm & xà bông",1784
Đế Tản Nhiệt Laptop,1770
Trà,1769
"Cờ lê, mỏ lết, búa các loại",1753
Bếp điện từ đôi,1718
Bút - Viết các loại,1717
Đầm ngủ,1692
Cà phê,1691
Mô hình giấy,1687
Dao - Máy cạo râu & Hớt tóc,1653
Nhà Sách Tiki,1629
Đá & Cây phong thủy,1623
Thực phẩm bổ dưỡng,1616
Linh vật phong thủy,1604
"Lắp ghép, Xếp hình",1603
"Khử mùi, sáp thơm",1581
Sofa/ salon và phụ kiện,1571
Kềm & Dũa các loại,1564
Gạt mưa ô tô,1556
Máy massage toàn thân,1548
Camera IP,1534
Dụng cụ chăm sóc,1525
"Bình, ly uống trà và phụ kiện",1523
"Ly, cốc & phụ kiện ly",1515
Phụ kiện xe máy,1490
Drums và Toner Cho Máy In Laser,1470
Nội thất phòng ngủ khác,1468
Tủ,1449
"Máy hút khói, khử mùi",1447
Truyện dài,1446
"Than, cồn & Dụng cụ mồi lửa",1442
Thực phẩm ăn liền,1438
Giày thể thao nam cổ thấp,1421
Diệt côn trùng,1415
Boardgame,1415
File Hồ Sơ - Bìa Hồ Sơ,1402
"Bình, ly uống cà phê và phụ kiện",1388
Khẩu trang y tế,1387
Bàn ghế làm việc,1370
Bình đựng nước,1365
Mô hình 3D,1332
Bao Da - Ốp Lưng Máy Tính Bảng Khác,1330
Phụ kiện cho bé,1330
Móc Khóa - Phụ Kiện Trang Trí,1328
Bàn ghế các loại,1325
"Tô, chén, dĩa",1324
Vật phẩm phong thủy khác,1322
Phụ kiện khác,1318
Sách Kiến Thức - Kỹ Năng Cho Trẻ,1314
Loa nghe nhạc,1304
"Sữa tươi, sữa trái cây",1299
Phụ kiện kính,1283
Bình đun siêu tốc,1282
Linh Kiện Thay Thế Khác,1279
Chảo các loại,1267
Tẩy trang,1266
Đồ dùng nhà bếp khác,1265
Đồng hồ treo tường,1264
Nón lưỡi trai nam,1250
Vòi nước các loại,1246
Tiểu sử - Hồi ký,1246
English Books,1240
Tác phẩm kinh điển,1235
Đồng hồ dây kim loại,1231
Đồ bộ dài,1225
Thời trang trung niên,1221
Sản phẩm tẩy đa năng,1218
Dây thắt lưng - Dây nịt,1212
Truyện trinh thám,1210
Nến trang trí & Phụ kiện,1205
Thước đo các loại,1205
Ví nam ngang,1200
Nước rửa chén,1200
Phụ Kiện Thiết Bị Mạng,1199
Trò chơi trí tuệ,1199
Bao Da - Ốp Lưng Điện Thoại iPhone,1198
Sản phẩm trị mụn,1197
Tủ lạnh,1193
"Đồng hồ thời trang, casual nam",1191
"Mì ăn liền, phở, cháo",1191
Đồng hồ để bàn,1183
Tranh gỗ,1182
Giày cao gót hở mũi,1181
Túi xách & Balo,1180
Phụ tùng ô tô,1179
"Vỏ nhựa, dàn áo xe máy",1178
Sơn,1174
Voucher - Dịch vụ,1173
Hộp đựng thực phẩm,1170
Nồi các loại,1167
Thời trang sơ sinh,1163
Sách nghệ thuật sống đẹp,1162
Nệm,1158
Dao các loại,1158
Bộ chăm sóc da mặt,1157
"Thùng rác, đồ hốt rác",1153
Nồi chiên,1151
Phụ tùng - Phụ kiện xe đạp khác,1148
Sách hướng nghiệp - Kỹ năng mềm,1143
"Nước hoa hồng, toner",1143
"Bộ dụng cụ, phụ kiện làm móng",1137
Thiết bị khác,1137
Linh Kiện và Các Phần Cứng Khác,1136
Áo sơ mi nam tay dài họa tiết,1134
Massage mặt,1133
Dụng cụ pha chế,1132
